company_record_id,company_name,company_owner,create_date,phone_number,last_activity_date,city,country_region,industry,legacy_contact_id,hubspot_contact_id,company_record_id_legacy,primary_contact_email,company_association_status
,Memperience,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,19843,TBD,PENDING
,Ic-Logic,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,19844,TBD,PENDING
,Arçelik Global,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,19850,TBD,PENDING
,Semidynamics,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,19881,TBD,PENDING
,Intron Electronic Gmbh,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,19884,TBD,PENDING
,Efficient Computer,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,19891,TBD,PENDING
,Impli Ag,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,20931,TBD,PENDING
,Watermelon Co.,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,20932,TBD,PENDING
,Quside Technologies S.L.,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,20933,TBD,PENDING
,Sonicedge Ltd,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,20936,TBD,PENDING
,Enercon Technologies Ltd,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,20937,TBD,PENDING
,Syrma Sgs,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,20940,TBD,PENDING
,"Diodes, Inc",NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,20942,TBD,PENDING
,Id4Us,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,20946,TBD,PENDING
,Legrand France Pyrénées,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,20953,TBD,PENDING
,Schaeffler Toulouse,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,20954,TBD,PENDING
